timeStamp,slaveAddress,coil[0],coil[1],coil[2],coil[3],coil[4],coil[5],coil[6],coil[7],coil[8],coil[9],coil[10],coil[11],coil[12],coil[13],coil[14],coil[15],coil[16],coil[17],coil[18],coil[19]
2020-04-15T11:08:34.384251800+02:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-04-15T11:08:34.402251900+02:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-04-15T11:08:34.421292800+02:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-04-15T11:08:34.442291500+02:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-04-15T11:08:34.461292300+02:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-04-15T11:08:34.482255100+02:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-04-15T11:08:34.501280200+02:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-04-15T11:08:34.521295+02:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-04-15T11:08:34.542294400+02:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-04-15T11:08:34.562293400+02:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-04-15T11:08:34.582319+02:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-04-15T11:08:34.602288900+02:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-04-15T11:08:34.621366800+02:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-04-15T11:08:34.642358500+02:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-04-15T11:08:34.662347800+02:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-04-15T11:08:34.681459700+02:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-04-15T11:08:34.701465100+02:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-04-15T11:08:34.722466900+02:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-04-15T11:08:34.742448300+02:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-04-15T11:08:34.761455700+02:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-04-15T11:08:34.781458900+02:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-04-15T11:08:34.802464600+02:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-04-15T11:08:34.822470400+02:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-04-15T11:08:34.842446300+02:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-04-15T11:08:34.862415800+02:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-04-15T11:08:34.882394+02:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-04-15T11:08:34.902328400+02:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-04-15T11:08:34.922314200+02:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-04-15T11:08:34.942326400+02:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-04-15T11:08:34.961477600+02:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-04-15T11:08:34.981588900+02:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
